,datetime,maximum_traffic_index,interval,is_droped
0,2015-08-06,0.686046511627907,0,False
1,2015-08-07,0.5232558139534884,0,False
2,2015-08-11,0.6744186046511628,0,False
3,2015-08-12,0.686046511627907,0,False
4,2015-08-13,0.6046511627906976,0,False
5,2015-08-14,0.7558139534883721,0,False
6,2015-08-15,0.5,0,False
7,2015-08-16,0.29069767441860467,0,False
8,2015-08-17,0.627906976744186,0,False
9,2015-08-18,0.7093023255813954,0,False
10,2015-08-19,0.7325581395348837,0,False
11,2015-08-20,0.7325581395348837,0,False
12,2015-08-21,0.8372093023255814,0,False
13,2015-08-22,0.5813953488372093,0,False
14,2015-08-23,0.37209302325581395,0,False
15,2015-08-24,0.686046511627907,0,False
16,2015-08-25,0.813953488372093,0,False
17,2015-08-26,0.813953488372093,0,False
18,2015-08-27,0.8604651162790697,0,False
19,2015-08-28,0.8604651162790697,0,False
20,2015-08-29,0.7093023255813954,0,False
21,2015-08-30,0.37209302325581395,0,False
22,2015-08-31,0.7093023255813954,0,False
23,2015-09-01,0.7906976744186046,0,False
24,2015-09-02,0.8372093023255814,0,False
25,2015-09-03,0.7906976744186046,0,False
26,2015-09-04,0.8953488372093024,0,False
27,2015-09-05,0.6744186046511628,0,False
28,2015-09-06,0.4186046511627907,0,False
29,2015-09-07,0.7093023255813954,0,False
30,2015-09-08,0.7558139534883721,0,False
31,2015-09-09,0.7325581395348837,0,False
32,2015-09-10,0.7906976744186046,0,False
33,2015-09-11,0.8953488372093024,0,False
34,2015-09-12,0.8604651162790697,0,False
35,2015-09-13,0.5,0,False
36,2015-09-14,0.7325581395348837,0,False
37,2015-09-15,0.7790697674418605,0,False
38,2015-09-16,0.7906976744186046,0,False
39,2015-09-17,0.8953488372093024,0,False
40,2015-09-18,0.8372093023255814,0,False
41,2015-09-19,0.5697674418604651,0,False
42,2015-09-20,0.2558139534883721,0,False
43,2015-09-21,0.5465116279069767,0,False
44,2015-09-22,0.5232558139534884,0,False
45,2015-09-23,0.29069767441860467,0,False
46,2015-09-24,0.37209302325581395,0,False
47,2015-09-25,0.6511627906976745,0,False
48,2015-09-26,0.5232558139534884,0,False
49,2015-09-27,0.313953488372093,0,False
50,2015-09-28,0.813953488372093,0,False
51,2015-09-29,0.8604651162790697,0,False
52,2015-09-30,0.7906976744186046,0,False
53,2015-10-01,0.7093023255813954,0,False
54,2015-10-02,0.7325581395348837,0,False
55,2015-10-03,0.6511627906976745,0,False
56,2015-10-04,0.5,0,False
57,2015-10-05,0.7093023255813954,0,False
58,2015-10-06,0.7558139534883721,0,False
59,2015-10-07,0.7558139534883721,0,False
60,2015-10-08,0.7790697674418605,0,False
61,2015-10-09,0.7906976744186046,0,False
62,2015-10-10,0.7906976744186046,0,False
63,2015-10-11,0.7325581395348837,0,False
64,2015-10-12,0.7790697674418605,0,False
65,2015-10-13,0.7906976744186046,0,False
66,2015-10-14,0.7558139534883721,0,False
67,2015-10-15,0.7906976744186046,0,False
68,2015-10-16,0.8604651162790697,0,False
69,2015-10-17,0.7558139534883721,0,False
70,2015-10-18,0.5697674418604651,0,False
71,2015-10-19,0.7093023255813954,0,False
72,2015-10-20,0.7558139534883721,0,False
73,2015-10-21,0.813953488372093,0,False
74,2015-10-22,0.9186046511627907,0,False
75,2015-10-23,1.0,0,False
76,2015-10-24,0.813953488372093,0,False
77,2015-10-25,0.46511627906976744,0,False
78,2015-10-26,0.7093023255813954,0,False
79,2015-10-27,0.7906976744186046,0,False
80,2015-10-28,0.7558139534883721,0,False
81,2015-10-29,0.36046511627906974,0,False
82,2015-10-30,0.7093023255813954,0,False
83,2015-10-31,0.627906976744186,0,False
84,2015-11-01,0.37209302325581395,0,False
85,2015-11-02,0.7906976744186046,0,False
86,2015-11-03,0.7790697674418605,0,False
87,2015-11-04,0.813953488372093,0,False
88,2015-11-05,0.813953488372093,0,False
89,2015-11-06,0.7906976744186046,0,False
90,2015-11-07,0.7558139534883721,0,False
91,2015-11-08,0.5465116279069767,0,False
92,2015-11-09,0.7790697674418605,0,False
93,2015-11-10,0.7906976744186046,0,False
94,2015-11-11,0.813953488372093,0,False
95,2015-11-12,0.7906976744186046,0,False
96,2015-11-13,0.8837209302325582,0,False
97,2015-11-14,0.8604651162790697,0,False
98,2015-11-15,0.6046511627906976,0,False
99,2015-11-16,0.7093023255813954,0,False
100,2015-11-17,0.9418604651162791,0,False
101,2015-11-18,0.813953488372093,0,False
102,2015-11-19,0.8837209302325582,0,False
103,2015-11-20,0.8837209302325582,0,False
104,2015-11-21,0.813953488372093,0,False
105,2015-11-22,,0,True
106,2015-11-23,,0,True
107,2015-11-24,,0,True
108,2015-11-25,,0,True
109,2015-11-26,,0,True
110,2015-11-27,,0,True
111,2015-11-28,,0,True
112,2015-11-29,,0,True
113,2015-11-30,,0,True
114,2015-12-01,,0,True
115,2015-12-02,,0,True
116,2015-12-03,,0,True
117,2015-12-04,,0,True
118,2015-12-05,,0,True
119,2015-12-06,,0,True
120,2015-12-07,,0,True
121,2015-12-08,0.8372093023255814,0,False
122,2015-12-09,0.813953488372093,0,False
123,2015-12-10,0.8372093023255814,0,False
